INFO:yolov5:YOLOv5 🚀 v6.1-208-g15057d2 Python-3.7.13 torch-1.8.2+cpu CPU

INFO:yolov5:Fusing layers... 
INFO:yolov5:YOLOv5s summary: 213 layers, 7225885 parameters, 0 gradients, 16.4 GFLOPs
INFO:yolov5:Adding AutoShape... 
INFO:yolov5:YOLOv5 🚀 v6.1-208-g15057d2 Python-3.7.13 torch-1.8.2+cpu CPU

INFO:yolov5:Fusing layers... 
INFO:yolov5:custom_YOLOv5l summary: 400 layers, 47364662 parameters, 0 gradients
INFO:yolov5:Adding AutoShape... 
WARNING:easyocr.easyocr:CUDA not available - defaulting to CPU. Note: This module is much faster with a GPU.
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:26] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:26] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:26] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:26] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:26] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:26] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:26] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:27] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:28] "POST /video_feed/start_webcam HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:29] "GET /video_feed/process_webcam HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:31] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:31] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:31] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:31] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:31] "GET /pieVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:31] "GET /barVehicles HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:32] "GET /carCounts/2022-08-14/2022-08-20 HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:32] "GET /dashboard/recentVisits HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:36] "GET /dashboard/vehicleTotal HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:36] "GET /dashboard/suspiciousToday HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [14/Aug/2022 22:53:36] "GET /dashboard/vehicleToday HTTP/1.1" 200 -
